TIMESTAMP,RECORD,BattV,calibrated_wind_speed
2025-01-28 07:54:00,23724.0,12.59,8.370000000000001
2025-01-28 07:55:00,23725.0,12.59,8.33
2025-01-28 07:56:00,23726.0,12.59,9.14
2025-01-28 07:57:00,23727.0,12.59,8.450000000000001
2025-01-28 07:58:00,23728.0,12.58,8.81
2025-01-28 07:59:00,23729.0,12.55,8.81
2025-01-28 08:00:00,23730.0,12.43,9.21
2025-01-28 08:01:00,23731.0,12.46,8.07
2025-01-28 08:02:00,23732.0,12.61,8.030000000000001
2025-01-28 08:03:00,23733.0,12.53,8.920000000000002
2025-01-28 08:04:00,23734.0,12.48,8.49
2025-01-28 08:05:00,23735.0,12.51,8.32
2025-01-28 08:06:00,23736.0,12.35,8.920000000000002
2025-01-28 08:07:00,23737.0,12.65,9.010000000000002
2025-01-28 08:08:00,23738.0,12.65,9.06
2025-01-28 08:09:00,23739.0,12.65,8.520000000000001
2025-01-28 08:10:00,23740.0,12.65,8.770000000000001
2025-01-28 08:11:00,23741.0,12.65,8.860000000000001
2025-01-28 08:12:00,23742.0,12.65,7.725
2025-01-28 08:13:00,23743.0,12.65,8.96
2025-01-28 08:14:00,23744.0,12.64,9.020000000000001
2025-01-28 08:15:00,23745.0,12.63,7.299
2025-01-28 08:16:00,23746.0,12.62,8.41
2025-01-28 08:17:00,23747.0,12.61,7.949
2025-01-28 08:18:00,23748.0,12.46,8.33
2025-01-28 08:19:00,23749.0,12.44,8.280000000000001
2025-01-28 08:20:00,23750.0,12.52,7.78
2025-01-28 08:21:00,23751.0,12.55,7.88
2025-01-28 08:22:00,23752.0,12.67,8.440000000000001
2025-01-28 08:23:00,23753.0,12.67,7.815
2025-01-28 08:24:00,23754.0,12.67,7.318
2025-01-28 08:25:00,23755.0,12.67,6.503
2025-01-28 08:26:00,23756.0,12.67,7.591
2025-01-28 08:27:00,23757.0,12.67,7.305
2025-01-28 08:28:00,23758.0,12.67,7.24
2025-01-28 08:29:00,23759.0,12.67,8.020000000000001
2025-01-28 08:30:00,23760.0,12.67,9.8
2025-01-28 08:31:00,23761.0,12.67,8.32
2025-01-28 08:32:00,23762.0,12.67,9.14
2025-01-28 08:33:00,23763.0,12.67,7.026
2025-01-28 08:34:00,23764.0,12.67,7.97
2025-01-28 08:35:00,23765.0,12.67,7.424
2025-01-28 08:36:00,23766.0,12.67,7.926
2025-01-28 08:37:00,23767.0,12.67,8.47
2025-01-28 08:38:00,23768.0,12.67,7.805
2025-01-28 08:39:00,23769.0,12.67,7.348
2025-01-28 08:40:00,23770.0,12.67,9.200000000000001
2025-01-28 08:41:00,23771.0,12.67,6.889
2025-01-28 08:42:00,23772.0,12.67,7.772
2025-01-28 08:43:00,23773.0,12.67,8.420000000000002
2025-01-28 08:44:00,23774.0,12.67,7.674
2025-01-28 08:45:00,23775.0,12.67,8.4
2025-01-28 08:46:00,23776.0,12.67,8.930000000000001
2025-01-28 08:47:00,23777.0,12.67,8.58
2025-01-28 08:48:00,23778.0,12.67,8.020000000000001
2025-01-28 08:49:00,23779.0,12.67,7.439
2025-01-28 08:50:00,23780.0,12.67,9.07
2025-01-28 08:51:00,23781.0,12.67,8.3
2025-01-28 08:52:00,23782.0,12.67,7.646
2025-01-28 08:53:00,23783.0,12.67,7.694
2025-01-28 08:54:00,23784.0,12.67,7.16
2025-01-28 08:55:00,23785.0,12.67,6.706
2025-01-28 08:56:00,23786.0,12.67,7.771
2025-01-28 08:57:00,23787.0,12.67,6.949
2025-01-28 08:58:00,23788.0,12.67,8.23
2025-01-28 08:59:00,23789.0,12.66,6.68
2025-01-28 09:00:00,23790.0,12.67,6.2139999999999995
2025-01-28 09:01:00,23791.0,12.67,6.683
2025-01-28 09:02:00,23792.0,12.66,6.673
2025-01-28 09:03:00,23793.0,12.66,7.405
2025-01-28 09:04:00,23794.0,12.67,6.658
2025-01-28 09:05:00,23795.0,12.67,7.209
